,index,logBB,Ref
0,c1cc(F)ccc1Cn(c(c23)cccc2)c(n3)[C@@H]4CCCN(C)C4,0.43,1
1,CC1CCN(CC1)C(=O)c(c2)ccc3n(CC=C)c(c4c23)CCN(C4)CC5CC5,-0.13,1
2,ClCCCl,-0.14,1
3,c1cccc(c1C23C)C(N3)Cc4c2cccc4,1.11,1
4,CC(=O)C,-0.15000001,1
5,c1ccccc1,0.359999995,1
6,OCCCC,-0.02,1
7,CCCCCCCC,0.69,1
8,CC(C)(C)NC(C)C(=O)c1cc(Cl)ccc1,1.4,1
9,OCC,-0.16,1
10,CO,0.02,1
11,CN1CCCC1c2cccnc2,0.31,1
12,N#[N+][O-],0.029999999,1
13,NC(=O)N,-0.14,1
14,CNC(C)Cc1ccccc1,0.924999995,1
15,c1cccc(c12)cc(C(=O)N(C)C(C)CC)nc2-c3c(Cl)cccc3,0.47999999,1
16,O=C(O)COc1c(Cl)cc(Cl)cc1,0.15000001,1
17,c1ccccc1C2(C(=O)NC(=O)N2)c3ccccc3,-0.075000001,1
18,c1cccc(c12)nc3c(c2N)CCCC3,-0.12,1
19,CCCC(=O)Nc(c1)ccc(c1C(=O)C)OCC(O)CNC(C)C,-0.15000001,1
20,n1nc(C)n(c12)c3c(cc(Cl)cc3)C(=NC2)c4ccccc4,0.03,1
21,CN(C)CCC=C1c(cccc2)c2CCc(c13)cccc3,0.89499999,1
22,CC(C)CCC1(CC)C(=O)NC(=O)NC1=O,0.075,1
23,Cc1cc(=O)n(n1C)-c2ccccc2,-0.105,1
24,CC(C)NCC(O)COc(cc1)ccc1CCOCC2CC2,0.38999999,1
25,C12C=CC(C2)CC1C(O)(c3ccccc3)CCN4CCCCC4,0.85000002,1
26,c1cc(F)ccc1C(=O)CCCN(CC2)CCC2(O)c3ccc(Br)cc3,1.38,1
27,c1cccc(c1C#N)OCC(O)CNC(C)(C)C,0.38,1
28,C1CCCC12CC(=O)N(C(=O)C2)CCCCN3CCN(CC3)c4ncccn4,0.49000001,1
29,CCCCOC(=O)c1ccc(N)cc1,0.41999999,1
30,Cn1cnc(c12)n(C)c(=O)n(C)c2=O,-0.05,1
31,c1cccc(c12)N(C(=O)N)c3c(C=C2)cccc3,-0.09,1
32,CN(C)CCCN1c(cccc2)c2Sc(c13)ccc(Cl)c3,1.04,1
33,c1c(Cl)ccc(c12)N(C)C(=O)CC(=O)N2c3ccccc3,0.355000005,1
34,N1CCNC1=Nc2c(Cl)cccc2Cl,0.12,1
35,CNCCCN(c(c12)cccc1)c3c(CC2)cccc3,1.14,1
36,c1c(Cl)ccc(c12)NC(=O)CN=C2c3ccccc3,0.51999998,1
37,c1c(Cl)ccc(c12)N(C)C(=O)CN=C2c3ccccc3,0.375,1
38,c1ccccc1C(OCCN(C)C)c2ccccc2,1.26,1
39,COc(c1)c(OC)cc(c12)CC(C2=O)CC3CCN(CC3)Cc4ccccc4,0.88999999,1
40,FC(Cl)C(F)(F)OC(F)F,0.22,1
41,CCOc(c1C(=O)N)cccc1,-0.048000001,1
42,c1ccccc1N(C(=O)CC)C2CCN(CC2)CCc3ccccc3,0.584999985,1
43,FC(F)(F)c(c1)ccc(c12)Sc3c(cccc3)N2CCCN4CCN(CC4)CCO,1.51,1
44,[O-][N+](=O)c(c1)ccc(c12)N(C)C(=O)CN=C2c3c(F)cccc3,0.07,1
45,FC(F)(F)c1ccc(cc1)OC(CCNC)c2ccccc2,0.72000003,1
46,O=C(O)c1c(O)ccc(c1)O,0.085000002,1
47,c1cc(F)ccc1C(=O)CCCN(CC2)CCC2(O)c3ccc(Cl)cc3,1.33,1
48,O=C1NC(=O)N(C)C(=O)C1(C)C2=CCCCC2,0.05,1
49,c1cc(Cl)ccc1C(c2ccccc2)N3CCN(CC3)CCOCCO,0.375000005,1
50,O=C(O)C(C)c1ccc(cc1)CC(C)C,-0.18000001,1
51,CCN(CC)CC(=O)Nc(c1C)c(C)ccc1,0.34,1
52,CN(C)CCCN(c(c12)cccc1)c3c(CC2)cccc3,0.90500001,1
53,FC(F)(F)C(Cl)OC(F)F,0.37,1
54,c1ccc(Cl)c(Cl)c1-c2c(N)nc(N)nn2,0.384999995,1
55,c1ccccc1C(C(=O)N(C)C)(c2ccccc2)CCN(CC3)CCC3(O)c4ccc(Cl)cc4,0.76999998,1
56,c1c(Cl)ccc(c12)NC(=O)C(O)N=C2c3c(Cl)cccc3,0.44,1
57,c1ccc(C(F)(F)F)c(c12)nc(C(F)(F)F)cc2C(O)C3CCCCN3,0.63,1
58,ClC(Cl)C(F)(F)OC,0.175,1
