N°;Name;Smiles;logBB;Ref
0;;c1cc(F)ccc1Cn(c(c23)cccc2)c(n3)[C@@H]4CCCN(C)C4;0.43;
1;;CC1CCN(CC1)C(=O)c(c2)ccc3n(CC=C)c(c4c23)CCN(C4)CC5CC5;-0.13;
2;;ClCCCl;-0.14;
3;;c1cccc(c1C23C)C(N3)Cc4c2cccc4;1.11;
4;;CC(=O)C;-0.15000001;
5;;c1ccccc1;0.359999995;
6;;OCCCC;-0.02;
7;;CCCCCCCC;0.69;
8;;CC(C)(C)NC(C)C(=O)c1cc(Cl)ccc1;1.4;
9;;OCC;-0.16;
10;;CO;0.02;
11;;CN1CCCC1c2cccnc2;0.31;
12;;N#[N+][O-];0.029999999;
13;;CCCO;-0.15000001;
14;;Cc1ccccc1;0.365000005;
15;;NC(=O)N;-0.14;
16;;CNC(C)Cc1ccccc1;0.924999995;
17;;c1cccc(c12)cc(C(=O)N(C)C(C)CC)nc2-c3c(Cl)cccc3;0.47999999;
18;;O=C(O)COc1c(Cl)cc(Cl)cc1;0.15000001;
19;;c1ccccc1C2(C(=O)NC(=O)N2)c3ccccc3;-0.075000001;
20;;c1cccc(c12)nc3c(c2N)CCCC3;-0.12;
21;;CCCC(=O)Nc(c1)ccc(c1C(=O)C)OCC(O)CNC(C)C;-0.15000001;
22;;n1nc(C)n(c12)c3c(cc(Cl)cc3)C(=NC2)c4ccccc4;0.03;
23;;CN(C)CCC=C1c(cccc2)c2CCc(c13)cccc3;0.89499999;
24;;CC(C)CCC1(CC)C(=O)NC(=O)NC1=O;0.075;
25;;Cc1cc(=O)n(n1C)-c2ccccc2;-0.105;
26;;CCC1(CC)C(=O)NC(=O)NC1=O;-0.14;
27;;CCOC(=O)c1ccc(N)cc1;0.27000001;
28;;CC(C)NCC(O)COc(cc1)ccc1CCOCC2CC2;0.38999999;
29;;C12C=CC(C2)CC1C(O)(c3ccccc3)CCN4CCCCC4;0.85000002;
30;;c1cc(F)ccc1C(=O)CCCN(CC2)CCC2(O)c3ccc(Br)cc3;1.38;
